book,rating,cover,author,pages,genre,isbn,favorite
A Beautiful Mind,4,https://images.gr-assets.com/books/1347807703l/13912.jpg,Sylvia Nasar,461,"Biography,Nonfiction,Psychology,Science",9780571212927,FALSE
The Wars of the Roses: The Fall of the Plantagenets and the Rise of the Tudors,4,https://images.gr-assets.com/books/1396671577l/20821029.jpg,Dan Jones,392,"History,Nonfiction",9780670026678,FALSE
A Brief History of Time,5,https://images.gr-assets.com/books/1348314953l/818560.jpg,Stephen Hawking,220,"Nonfiction,Science,History,Philosophy",9780553380163,TRUE
The Lord of the Rings: Return of the King,5,https://images.gr-assets.com/books/1520258755l/18512.jpg,J.R.R Tolkien,490,"Fantasy,Fiction,Classics,Adventure",9780345339737,TRUE
The Lord of the Rings: The Two Towers,5,https://images.gr-assets.com/books/1298415523l/15241.jpg,J.R.R Tolkien,322,"Fantasy,Fiction,Classics,Adventure",9780618346264,TRUE
The Friendly Orange Glow: The Untold Story of the PLATO System and the Dawn of Cyberculture,4,https://images.gr-assets.com/books/1492187905l/34373814.jpg,Brian Dear,640,"History,Nonfiction,Science,Biography",9781101871553,FALSE
The Lord of the Rings: The Fellowship of the Ring,4,https://images.gr-assets.com/books/1298411339l/34.jpg,J.R.R Tolkien,398,"Fantasy,Fiction,Classics,Adventure",9780618346257,FALSE
Fire and Fury: Inside the Trump White House,3,https://images.gr-assets.com/books/1514994130l/36595101.jpg,Michael Wolff,322,"Nonfiction,Politics,History,Biography",9781250158062,FALSE
American Kingpin: The Epic Hunt for the Criminal Mastermind behind the Silk Road,4,https://images.gr-assets.com/books/1488995322l/31920777.jpg,Nick Bilton,328,"Nonfiction,Crime,History,Biography,Mystery",9781591848141,FALSE
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4,https://images.gr-assets.com/books/1465761302l/28257707.jpg,Mark Manson,224,"Nonfiction,Self Help,Psychology,Philosophy",9780062457738,FALSE
A Storm of Swords (A Song of Ice and Fire #3),5,https://images.gr-assets.com/books/1497931121l/62291.jpg,George R.R. Martin,1177,"Fiction,Fantasy",9780553573428,TRUE